0.429,0.066,2.539,-0.03,0.823,0.683,0.65,0.702,4.961,4.17,3.722,3.771,4.354,5,0.429,0.066
0.429,0.066,2.496,-0.032,0.754,0.628,0.601,0.65,4.953,4.091,3.666,3.727,4.321,5,0.432,0.063
0.432,0.063,2.453,-0.035,0.751,0.627,0.601,0.652,4.947,4.039,3.628,3.697,4.298,5,0.432,0.063
0.432,0.063,2.41,-0.038,0.685,0.574,0.551,3.924,4.941,3.988,3.591,3.667,4.275,5,0.414,0.028
0.414,0.028,2.368,-0.04,0.682,0.573,0.551,3.932,4.928,3.941,3.554,3.637,4.247,5,0.414,0.028
0.414,0.028,2.327,-0.042,0.619,0.521,0.501,3.882,4.907,3.898,3.52,3.605,4.215,5,0.4,0.032
0.4,0.032,2.286,-0.044,0.618,0.52,0.501,3.887,4.888,3.856,3.486,3.573,4.183,5,0.4,0.032
0.4,0.032,2.246,-0.046,0.555,0.468,0.451,3.838,4.87,3.814,3.452,3.543,4.153,5,0.449,-0.028
0.449,-0.028,2.206,-0.047,0.554,0.467,0.451,3.84,4.861,3.793,3.435,3.528,4.138,5,0.449,-0.028
0.449,-0.028,2.206,-0.047,0.494,0.416,3.459,3.778,4.786,3.74,3.382,3.467,4.06,5,0.412,-0.019
0.412,-0.019,2.118,-0.048,0.495,0.416,3.458,3.774,4.74,3.706,3.347,3.43,4.012,5,0.412,-0.019
0.412,-0.019,2.077,-0.048,0.434,0.364,3.408,3.717,4.698,3.672,3.315,3.394,3.966,5,0.415,-0.047
0.415,-0.047,2.036,-0.048,0.435,0.365,3.407,3.711,4.649,3.641,3.282,3.356,3.918,5,0.415,-0.047
0.415,-0.047,1.995,-0.048,0.374,0.417,3.356,3.649,4.595,3.612,3.25,3.318,3.865,5,0.399,-0.063
0.399,-0.063,1.954,-0.047,0.375,0.575,3.355,3.64,4.538,3.586,3.22,3.281,3.812,5,0.399,-0.063
0.399,-0.063,1.914,-0.046,0.314,0.576,3.304,3.577,4.478,3.561,3.19,3.243,3.759,5,0.383,-0.054
0.383,-0.054,1.875,-0.045,0.379,0.735,3.303,3.568,4.422,3.537,3.161,3.207,3.708,5,0.383,-0.054
